-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        77.08%      97.118ms        77.08%      97.118ms     429.726us     312.000us         7.31%     312.000us       1.381us           226  
                                 aten::conv_transpose2d         0.01%      11.000us        31.43%      39.605ms      19.802ms       0.000us         0.00%     225.000us     112.500us             2  
                                      aten::convolution         0.01%      17.000us        31.42%      39.594ms      19.797ms       0.000us         0.00%     225.000us     112.500us             2  
                                     aten::_convolution         0.05%      57.000us        31.41%      39.577ms      19.788ms       0.000us         0.00%     225.000us     112.500us             2  
                      aten::cudnn_convolution_transpose         3.00%       3.775ms        31.27%      39.406ms      19.703ms     159.000us         3.73%     159.000us      79.500us             2  
                                       aten::index_put_         0.02%      24.000us        29.49%      37.155ms       9.289ms       0.000us         0.00%      85.000us      21.250us             4  
                                 aten::_index_put_impl_         0.07%      83.000us        29.47%      37.131ms       9.283ms       8.000us         0.19%      85.000us      21.250us             4  
                                     aten::masked_fill_         0.04%      53.000us        29.13%      36.701ms      36.701ms       2.000us         0.05%       2.000us       2.000us             1  
                                  cudaFuncGetAttributes         8.62%      10.867ms         8.62%      10.867ms      21.308us       2.000us         0.05%       2.000us       0.004us           510  
                                             aten::relu         0.04%      55.000us         5.82%       7.328ms     610.667us       0.000us         0.00%      24.000us       2.000us            12  
                                        aten::clamp_min         0.11%     139.000us         5.77%       7.273ms     606.083us      24.000us         0.56%      24.000us       2.000us            12  
                                          aten::nonzero         0.21%     262.000us         5.11%       6.444ms       1.074ms      57.000us         1.34%     220.000us      36.667us             6  
                                            aten::index         0.08%      95.000us         5.03%       6.339ms       2.113ms       8.000us         0.19%     153.000us      51.000us             3  
                                           aten::linear         0.24%     308.000us         4.80%       6.046ms     128.638us       0.000us         0.00%     802.000us      17.064us            47  
                                              aten::neg         0.02%      28.000us         4.42%       5.565ms       5.565ms       2.000us         0.05%       2.000us       2.000us             1  
                                            aten::addmm         0.89%       1.125ms         4.15%       5.233ms     118.932us     501.000us        11.74%     654.000us      14.864us            44  
                                               aten::eq         0.09%     117.000us         4.08%       5.144ms       1.286ms       8.000us         0.19%      10.000us       2.500us             4  
                                               aten::to        -0.00%      -5.000us         3.16%       3.986ms     284.714us       0.000us         0.00%       2.029ms     144.929us            14  
                                         aten::_to_copy         0.06%      79.000us         3.15%       3.967ms     566.714us       0.000us         0.00%       2.028ms     289.714us             7  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         2.90%       3.655ms         2.90%       3.655ms      77.766us      93.000us         2.18%      93.000us       1.979us            47  
